sample_id,sample_name,group,light_intensity,temperature,absorption,light_intensity_group,temperature_group,Sequencing,replicate,PCA_gorup,FvFm,DEG_group,biolrep,FvFM_1,FvFm_measure,,Mesotaenium_endlicherianum
B_3_33,LightIntensity129.5_Temperature26.7_rep3,LightIntensity129.5_Temperature26.7,129.5,26.7,0.533,129.6,26.57,A,3,heat,0.564083333,MLI_HT,106,Treatment,0.564,,
B_3_34,LightIntensity71.2_Temperature26.3_rep3,LightIntensity71.2_Temperature26.3,71.2,26.3,0.466,71.93,26.57,A,3,Steady_state,0.6275,MLI_HT,107,Treatment,0.622,,
B_3_35,LightIntensity38.6_Temperature26.1_rep3,LightIntensity38.6_Temperature26.1,38.6,26.1,0.405,39.2,26.57,A,3,Steady_state,0.650833333,LLI_HT,108,Treatment,0.651,,
B_3_36,LightIntensity19.8_Temprature25.9_rep3,LightIntensity19.8_Temprature25.9,19.8,25.9,0.529,20.99,26.57,A,3,Steady_state,0.682,LLI_HT,109,Treatment,0.695,,
B_3_38,LightIntensity316.4_Temperature29.9_rep3,LightIntensity316.4_Temperature29.9,316.4,29.9,0.478,329.83,29.22,A,3,heat_HL,0.04625,HLI_HT,110,Treatment,0.028,,
B_3_39,LightIntensity117.8_Temperature29.6_rep3,LightIntensity117.8_Temperature29.6,117.8,29.6,0.515,129.6,29.22,A,3,heat_HL,0.484416667,MLI_HT,111,Treatment,0.463,,
B_3_40,LightIntensity64.5_Temperature29.2_rep3,LightIntensity64.5_Temperature29.2,64.5,29.2,0.546,71.93,29.22,A,3,heat,0.582166667,MLI_HT,112,Treatment,0.582,,
B_3_41,LightIntensity34.5_Temperature28.9_rep3,LightIntensity34.5_Temperature28.9,34.5,28.9,0.553,39.2,29.22,A,3,heat,0.632083333,LLI_HT,113,Treatment,0.633,,
B_3_42,LightIntensity17.7_Temprature28.5_rep3,LightIntensity17.7_Temprature28.5,17.7,28.5,0.569,20.99,29.22,A,3,heat,0.675416667,LLI_HT,114,Treatment,0.687,,
BR_1_13,LightIntensity505.5_Temprature17.6_rep1_TechRep2,LightIntensity505.5_Temprature17.6,505.5,17.6,0.249,527.89,17.07,B,1t,HL,0,HLI_MT,10,Treatment,0,,
BR_1_19,LightIntensity534.7_Temprature21.5_rep1_TechRep2,LightIntensity534.7_Temprature21.5,534.7,21.5,0.356,527.89,20.63,B,1t,HL,0.048333333,MLI_MT,16,Treatment,0.042,,
